,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,Year,id,SalaryCap
395,OtisThorpe,PF,37,MIA,51,1,15.2,2.5,4.8,.514,0.0,0.1,.000,2.5,4.7,.521,.514,0.6,0.9,.604,1.1,2.2,3.3,0.6,0.5,0.2,1.2,2.7,5.5,"$2,000,000",2000,OtisThorpe2000,"$34,000,000"
396,RobertTraylor,PF,22,MIL,44,16,10.2,1.3,2.8,.475,0.0,0.1,.000,1.3,2.7,.492,.475,0.9,1.5,.603,1.1,1.5,2.6,0.5,0.6,0.6,0.6,1.8,3.6,"$2,059,320",2000,RobertTraylor2000,"$34,000,000"
397,GaryTrent,SF,25,DAL,11,11,27.4,6.4,12.9,.493,0.0,0.2,.000,6.4,12.7,.500,.493,1.0,1.9,.524,1.8,2.9,4.7,2.0,0.7,0.3,2.3,2.5,13.7,"$2,000,000",2000,GaryTrent2000,"$34,000,000"
398,MirsadTurkcan,PF,23,TOT,17,0,5.3,0.8,2.2,.368,0.0,0.4,.000,0.8,1.9,.438,.368,0.3,0.5,.625,0.8,1.2,1.9,0.3,0.2,0.1,0.5,0.8,1.9,"$830,745",2000,MirsadTurkcan2000,"$34,000,000"
399,WayneTurner,PG,23,BOS,3,0,13.7,0.3,2.0,.167,0.0,0.0,,0.3,2.0,.167,.167,0.7,2.0,.333,0.3,0.7,1.0,1.7,0.0,0.0,1.0,1.3,1.3,"$30,000",2000,WayneTurner2000,"$34,000,000"
400,NickVanExel,PG,28,DEN,79,79,37.3,6.0,15.4,.390,1.7,5.1,.332,4.3,10.3,.419,.445,2.5,3.0,.817,0.4,3.5,3.9,9.0,0.9,0.1,2.8,1.9,16.1,"$8,354,614",2000,NickVanExel2000,"$34,000,000"
401,KeithVanHorn,PF,24,NJN,80,80,34.8,7.0,15.7,.445,1.1,2.9,.368,5.9,12.9,.462,.478,4.2,4.9,.847,2.5,6.0,8.5,2.0,0.8,0.8,3.1,3.2,19.2,"$3,451,920",2000,KeithVanHorn2000,"$34,000,000"
402,JacqueVaughn,PG,24,UTA,78,0,11.3,1.4,3.4,.416,0.2,0.4,.412,1.2,2.9,.417,.443,0.7,1.0,.750,0.1,0.7,0.8,1.6,0.4,0.0,1.0,1.2,3.7,"$781,800",2000,JacqueVaughn2000,"$34,000,000"
403,LoyVaught,PF,31,DET,43,0,6.8,0.7,2.1,.360,0.0,0.1,.000,0.7,2.0,.372,.360,0.3,0.4,.688,0.6,1.5,2.1,0.3,0.1,0.1,0.3,1.0,1.7,"$4,180,000",2000,LoyVaught2000,"$34,000,000"
404,FredVinson,SG,29,SEA,8,0,5.0,0.6,2.1,.294,0.3,0.9,.286,0.4,1.3,.300,.353,0.1,0.3,.500,0.0,0.1,0.1,0.0,0.4,0.0,0.5,0.3,1.6,"$485,000",2000,FredVinson2000,"$34,000,000"
405,AntoineWalker,PF,23,BOS,82,82,36.6,7.9,18.4,.430,0.9,3.5,.256,7.0,14.9,.471,.455,3.8,5.4,.699,2.4,5.5,8.0,3.7,1.4,0.4,3.2,3.2,20.5,"$9,000,000",2000,AntoineWalker2000,"$34,000,000"
406,SamakiWalker,PF,23,SAS,71,7,13.8,1.9,4.3,.449,0.0,0.0,,1.9,4.3,.449,.449,1.2,1.8,.683,1.1,2.7,3.8,0.5,0.1,0.5,0.9,1.5,5.1,"$2,716,667",2000,SamakiWalker2000,"$34,000,000"
407,BenWallace,PF,25,ORL,81,81,24.2,2.1,4.1,.503,0.0,0.0,,2.1,4.1,.503,.503,0.7,1.4,.474,2.6,5.6,8.2,0.8,0.9,1.6,0.8,2.0,4.8,"$893,750",2000,BenWallace2000,"$34,000,000"
408,JohnWallace,SF,25,NYK,60,0,13.3,2.6,5.5,.467,0.0,0.1,.000,2.6,5.5,.471,.467,1.4,1.7,.804,0.7,1.6,2.3,0.4,0.2,0.2,1.1,1.7,6.5,"$2,000,000",2000,JohnWallace2000,"$34,000,000"
409,RasheedWallace,PF,25,POR,81,77,35.1,6.7,12.9,.519,0.1,0.6,.160,6.6,12.3,.537,.522,2.9,4.1,.704,1.6,5.4,7.0,1.8,1.1,1.3,1.9,2.7,16.4,"$10,800,000",2000,RasheedWallace2000,"$34,000,000"
410,RexWalters,PG,29,MIA,33,0,11.8,1.2,2.8,.418,0.2,0.6,.250,1.0,2.2,.465,.445,0.4,0.5,.750,0.2,0.8,1.1,2.0,0.2,0.0,0.9,1.3,2.8,"$1,100,000",2000,RexWalters2000,"$34,000,000"
411,CharlieWard,PG,29,NYK,72,69,27.6,2.6,6.2,.423,1.4,3.7,.386,1.2,2.5,.475,.537,0.7,0.8,.828,0.3,2.9,3.2,4.2,1.3,0.2,1.4,2.4,7.3,"$4,540,000",2000,CharlieWard2000,"$34,000,000"
412,ClarenceWeatherspoon,PF,29,MIA,78,2,20.7,2.8,5.4,.513,0.0,0.0,,2.8,5.4,.513,.513,1.7,2.3,.738,1.6,4.1,5.8,1.2,0.7,0.6,1.3,2.1,7.2,"$1,925,000",2000,ClarenceWeatherspoon2000,"$34,000,000"
413,ChrisWebber,PF,26,SAC,75,75,38.4,10.0,20.6,.483,0.4,1.3,.284,9.6,19.4,.496,.492,4.1,5.5,.751,2.5,8.0,10.5,4.6,1.6,1.7,2.9,3.5,24.5,"$11,000,000",2000,ChrisWebber2000,"$34,000,000"
414,BonziWells,SF,23,POR,66,0,17.6,3.6,7.3,.492,0.3,0.8,.377,3.3,6.5,.506,.513,1.3,2.0,.682,1.2,1.6,2.8,1.5,1.0,0.2,1.5,2.3,8.8,"$1,428,720",2000,BonziWells2000,"$34,000,000"
415,BillWennington,C,36,SAC,7,0,8.1,0.9,2.7,.316,0.0,0.0,,0.9,2.7,.316,.316,0.3,0.3,1.000,0.7,2.0,2.7,0.1,0.3,0.3,0.1,1.9,2.0,"$510,000",2000,BillWennington2000,"$34,000,000"
416,DavidWesley,PG,29,CHH,82,82,33.7,5.0,11.6,.426,1.1,3.0,.355,3.9,8.6,.451,.472,2.6,3.4,.778,0.5,2.3,2.7,5.6,1.3,0.1,1.9,2.3,13.6,"$2,520,000",2000,DavidWesley2000,"$34,000,000"
417,DougWest,SG,32,VAN,38,0,15.3,1.6,3.8,.407,0.0,0.1,.000,1.6,3.7,.415,.407,0.9,1.1,.850,0.5,1.4,1.9,1.1,0.3,0.2,0.5,2.1,4.0,"$3,295,000",2000,DougWest2000,"$34,000,000"
418,MarkWest,C,39,PHO,22,2,5.8,0.2,0.5,.417,0.0,0.0,,0.2,0.5,.417,.417,0.2,0.4,.625,0.3,1.1,1.4,0.1,0.1,0.2,0.3,1.0,0.7,"$510,000",2000,MarkWest2000,"$34,000,000"
419,JahidiWhite,C,23,WAS,80,59,19.2,2.9,5.6,.507,0.0,0.0,,2.9,5.6,.507,.507,1.4,2.6,.536,2.5,4.4,6.9,0.2,0.4,1.0,1.2,2.9,7.1,"$385,000",2000,JahidiWhite2000,"$34,000,000"
420,ChrisWhitney,PG,28,WAS,82,15,19.8,2.6,6.4,.417,1.2,3.1,.376,1.5,3.2,.455,.509,1.4,1.6,.848,0.2,1.4,1.6,3.8,0.7,0.1,1.3,2.0,7.8,"$1,680,000",2000,ChrisWhitney2000,"$34,000,000"
421,AaronWilliams,PF,28,WAS,81,0,19.1,2.9,5.6,.522,0.0,0.0,.000,2.9,5.5,.526,.522,1.8,2.5,.726,2.0,3.1,5.0,0.7,0.5,1.1,1.0,2.9,7.6,"$1,100,000",2000,AaronWilliams2000,"$34,000,000"
422,AlvinWilliams,PG,25,TOR,55,28,14.2,2.1,5.2,.397,0.3,1.0,.291,1.8,4.2,.422,.425,0.9,1.2,.738,0.5,1.1,1.5,2.3,0.6,0.2,0.9,1.4,5.3,"$1,925,000",2000,AlvinWilliams2000,"$34,000,000"
423,EricWilliams,SF,27,BOS,68,17,20.3,2.4,5.7,.427,0.4,1.1,.347,2.1,4.6,.446,.460,2.0,2.5,.793,0.8,1.5,2.3,1.4,0.6,0.2,1.0,2.4,7.2,"$3,336,000",2000,EricWilliams2000,"$34,000,000"
424,JasonWilliams,PG,24,SAC,81,81,34.1,4.5,12.0,.373,1.8,6.2,.287,2.7,5.8,.466,.448,1.6,2.1,.753,0.3,2.6,2.8,7.3,1.4,0.1,3.7,1.7,12.3,"$1,879,920",2000,JasonWilliams2000,"$34,000,000"
425,JeromeWilliams,PF,26,DET,82,1,25.6,3.1,5.6,.564,0.0,0.0,.000,3.1,5.5,.567,.564,2.1,3.5,.616,3.4,6.2,9.6,0.8,1.2,0.3,1.3,2.4,8.4,"$2,550,000",2000,JeromeWilliams2000,"$34,000,000"
426,LorenzoWilliams,PF,30,WAS,8,0,9.5,0.9,1.1,.778,0.0,0.0,,0.9,1.1,.778,.778,0.0,0.0,,1.5,1.6,3.1,0.1,0.4,0.8,0.4,1.6,1.8,"$1,540,000",2000,LorenzoWilliams2000,"$34,000,000"
427,MontyWilliams,SF,28,ORL,75,23,20.0,3.5,7.2,.489,0.0,0.1,.400,3.5,7.1,.490,.491,1.6,2.2,.741,1.3,2.1,3.3,1.4,0.6,0.2,1.5,2.5,8.7,"$510,000",2000,MontyWilliams2000,"$34,000,000"
428,ScottWilliams,C,31,MIL,68,46,21.9,3.1,6.3,.500,0.0,0.0,,3.1,6.3,.500,.500,1.4,1.9,.729,2.6,4.0,6.6,0.4,0.6,1.0,1.0,3.4,7.6,"$3,750,000",2000,ScottWilliams2000,"$34,000,000"
429,ShammondWilliams,PG,24,SEA,43,5,12.0,2.0,5.2,.373,0.6,1.9,.296,1.4,3.3,.417,.427,0.8,1.2,.647,0.3,0.9,1.2,1.8,0.4,0.0,0.9,0.9,5.2,"$500,000",2000,ShammondWilliams2000,"$34,000,000"
430,WaltWilliams,SF,29,HOU,76,66,24.5,4.1,9.0,.458,1.3,3.4,.391,2.8,5.5,.500,.533,1.3,1.6,.821,0.9,3.1,4.0,2.1,0.6,0.6,1.5,2.5,10.9,"$3,750,000",2000,WaltWilliams2000,"$34,000,000"
431,CorlissWilliamson,SF,26,SAC,76,76,22.5,4.1,8.2,.500,0.0,0.0,,4.1,8.2,.500,.500,2.1,2.8,.769,1.6,2.2,3.8,1.1,0.5,0.3,1.4,2.5,10.3,"$3,560,000",2000,CorlissWilliamson2000,"$34,000,000"
432,KevinWillis,PF,37,TOR,79,1,21.3,3.0,7.2,.415,0.0,0.0,.333,3.0,7.2,.415,.416,1.7,2.1,.799,2.5,3.6,6.1,0.6,0.5,0.6,1.2,3.2,7.6,"$2,625,000",2000,KevinWillis2000,"$34,000,000"
433,DedricWilloughby,PG,25,CHI,25,1,20.3,2.4,7.2,.341,1.2,3.9,.296,1.3,3.2,.395,.422,1.6,2.0,.765,0.4,1.6,2.0,2.6,0.9,0.1,1.5,1.3,7.6,"$134,956",2000,DedricWilloughby2000,"$34,000,000"
434,DavidWingate,SG,36,NYK,7,0,4.6,0.1,1.3,.111,0.0,0.0,,0.1,1.3,.111,.111,0.0,0.0,,0.1,0.1,0.3,0.4,0.1,0.3,0.3,1.0,0.3,"$510,000",2000,DavidWingate2000,"$34,000,000"
435,HaywoodeWorkman,PG,34,TOT,36,2,9.7,0.9,2.5,.344,0.4,1.2,.326,0.5,1.3,.362,.422,0.3,0.4,.667,0.0,0.7,0.7,1.7,0.6,0.0,0.5,1.0,2.4,"$510,000",2000,HaywoodeWorkman2000,"$34,000,000"
436,MettaWorldPeace,SF,20,CHI,72,63,31.1,4.3,10.5,.407,0.8,2.7,.314,3.5,7.9,.438,.447,2.6,3.9,.674,0.9,3.4,4.3,2.8,1.7,0.5,2.3,2.2,12.0,"$1,079,760",2000,MettaWorldPeace2000,"$34,000,000"
437,LorenzenWright,C,24,ATL,75,0,16.1,2.4,4.8,.499,0.0,0.0,.333,2.4,4.8,.500,.500,1.2,1.8,.644,1.6,2.5,4.1,0.3,0.4,0.5,0.9,2.7,6.0,"$4,400,000",2000,LorenzenWright2000,"$34,000,000"
438,TimYoung,C,23,GSW,25,0,5.5,0.5,1.6,.333,0.0,0.0,,0.5,1.6,.333,.333,1.1,1.4,.778,0.5,0.9,1.4,0.2,0.1,0.0,0.4,0.7,2.2,"$301,875",2000,TimYoung2000,"$34,000,000"
439,MahmoudAbdul-Rauf,PG,31,VAN,41,0,11.9,2.9,6.0,.488,0.1,0.3,.286,2.8,5.7,.500,.496,0.5,0.7,.759,0.1,0.5,0.6,1.9,0.2,0.0,0.6,1.2,6.5,"$798,500",2001,MahmoudAbdul-Rauf2001,"$35,500,000"
440,TariqAbdul-Wahad,SG,26,DEN,29,12,14.5,1.5,3.8,.387,0.1,0.3,.400,1.3,3.5,.386,.405,0.7,1.2,.583,0.5,1.6,2.0,0.8,0.5,0.4,1.2,1.9,3.8,"$4,500,000",2001,TariqAbdul-Wahad2001,"$35,500,000"
441,ShareefAbdur-Rahim,SF,24,VAN,81,81,40.0,7.5,15.8,.472,0.1,0.8,.188,7.3,15.0,.487,.477,5.5,6.6,.834,2.2,6.9,9.1,3.1,1.1,1.0,2.9,2.9,20.5,"$10,130,000",2001,ShareefAbdur-Rahim2001,"$35,500,000"
442,CoryAlexander,PG,27,ORL,26,0,8.7,0.7,2.2,.321,0.2,0.6,.250,0.5,1.5,.350,.357,0.5,0.7,.667,0.0,1.0,1.0,1.4,0.6,0.0,1.0,1.1,2.0,"$2,160,000",2001,CoryAlexander2001,"$35,500,000"
443,CourtneyAlexander,PG,23,TOT,65,24,21.3,3.7,8.8,.417,0.3,0.7,.370,3.4,8.1,.421,.432,1.9,2.3,.820,0.6,1.6,2.2,1.0,0.7,0.1,1.2,2.1,9.5,"$1,319,400",2001,CourtneyAlexander2001,"$35,500,000"
444,RayAllen,SG,25,MIL,82,82,38.2,7.7,16.0,.480,2.5,5.7,.433,5.2,10.3,.506,.557,4.2,4.8,.888,1.2,4.0,5.2,4.6,1.5,0.2,2.5,2.3,22.0,"$10,130,000",2001,RayAllen2001,"$35,500,000"
445,RaferAlston,PG,24,MIL,37,2,7.8,0.8,2.3,.357,0.2,0.8,.267,0.6,1.5,.407,.405,0.2,0.4,.692,0.1,0.7,0.8,1.8,0.4,0.0,0.5,0.7,2.1,"$423,500",2001,RaferAlston2001,"$35,500,000"
446,JohnAmaechi,C,30,ORL,82,36,20.9,2.9,7.2,.400,0.0,0.1,.000,2.9,7.1,.405,.400,2.1,3.4,.631,0.9,2.3,3.3,0.9,0.3,0.4,1.5,2.1,7.9,"$600,000",2001,JohnAmaechi2001,"$35,500,000"
447,DerekAnderson,SG,26,SAS,82,82,34.9,5.0,12.1,.416,1.2,3.1,.399,3.8,9.0,.422,.467,4.2,4.9,.851,0.9,3.5,4.4,3.7,1.5,0.2,2.0,2.3,15.5,"$2,250,000",2001,DerekAnderson2001,"$35,500,000"
448,KennyAnderson,PG,30,BOS,33,28,25.7,2.7,6.9,.388,0.3,1.0,.333,2.3,5.9,.397,.412,1.8,2.2,.831,0.5,1.7,2.2,4.1,1.3,0.1,1.6,1.9,7.5,"$7,520,000",2001,KennyAnderson2001,"$35,500,000"
449,NickAnderson,SG,33,SAC,21,0,8.0,0.7,2.7,.246,0.5,1.9,.256,0.2,0.9,.222,.333,0.0,0.0,,0.1,1.0,1.2,0.6,0.5,0.2,0.3,0.6,1.8,"$3,750,000",2001,NickAnderson2001,"$35,500,000"
450,ShandonAnderson,SG,27,HOU,82,82,29.2,3.2,7.2,.446,0.6,2.1,.271,2.6,5.1,.517,.485,1.7,2.3,.734,0.9,3.2,4.1,2.3,1.0,0.5,1.6,2.5,8.7,"$2,200,000",2001,ShandonAnderson2001,"$35,500,000"
451,GregAnthony,PG,33,POR,58,0,14.8,1.7,4.4,.383,1.1,2.7,.409,0.6,1.6,.340,.512,0.4,0.6,.657,0.4,0.7,1.1,1.4,0.7,0.1,0.7,1.1,4.9,"$3,500,000",2001,GregAnthony2001,"$35,500,000"
452,DarrellArmstrong,PG,32,ORL,75,75,36.9,5.5,13.4,.412,1.9,5.4,.355,3.6,8.0,.451,.484,2.9,3.3,.884,1.3,3.3,4.6,7.0,1.8,0.2,2.7,2.1,15.9,"$3,100,000",2001,DarrellArmstrong2001,"$35,500,000"
453,ChuckyAtkins,PG,26,DET,81,75,29.2,4.7,11.8,.399,1.5,4.2,.357,3.2,7.6,.423,.463,1.1,1.6,.692,0.3,1.8,2.1,4.1,0.8,0.1,1.8,2.3,12.0,"$3,000,000",2001,ChuckyAtkins2001,"$35,500,000"
454,StaceyAugmon,SG,32,POR,66,23,17.9,1.9,4.0,.477,0.0,0.1,.000,1.9,4.0,.485,.477,0.9,1.3,.655,0.9,1.5,2.4,1.5,0.7,0.3,0.7,1.6,4.7,"$923,500",2001,StaceyAugmon2001,"$35,500,000"
455,IsaacAustin,C,31,VAN,52,16,16.3,1.8,5.2,.356,0.1,0.5,.250,1.7,4.7,.366,.367,0.5,0.8,.700,1.0,3.3,4.3,1.1,0.4,0.4,1.0,1.8,4.3,"$5,500,000",2001,IsaacAustin2001,"$35,500,000"
456,WilliamAvery,PG,21,MIN,55,0,8.4,1.0,2.6,.382,0.3,1.1,.271,0.7,1.5,.459,.438,0.5,0.7,.778,0.1,0.4,0.5,1.4,0.2,0.1,0.8,0.9,2.8,"$1,286,160",2001,WilliamAvery2001,"$35,500,000"
457,DaliborBagaric,C,20,CHI,35,0,7.4,0.5,1.9,.262,0.0,0.0,.000,0.5,1.8,.266,.262,0.4,0.8,.464,0.6,1.0,1.6,0.3,0.3,0.5,0.6,1.3,1.3,"$795,000",2001,DaliborBagaric2001,"$35,500,000"
458,VinBaker,PF,29,SEA,76,27,28.0,4.6,10.8,.422,0.0,0.2,.063,4.6,10.6,.429,.423,3.1,4.2,.723,2.4,3.3,5.7,1.2,0.5,1.0,2.1,3.5,12.2,"$10,130,000",2001,VinBaker2001,"$35,500,000"
459,ErickBarkley,PG,22,POR,8,0,4.8,1.0,2.8,.364,0.4,1.0,.375,0.6,1.8,.357,.432,0.0,0.0,,0.0,0.4,0.4,0.8,0.3,0.0,0.6,0.3,2.4,"$712,200",2001,ErickBarkley2001,"$35,500,000"
460,DanaBarros,PG,33,DET,60,0,18.0,3.1,6.9,.444,0.7,1.8,.419,2.3,5.1,.453,.498,1.1,1.3,.850,0.1,1.5,1.6,1.8,0.5,0.0,1.0,1.1,8.0,"$3,700,000",2001,DanaBarros2001,"$35,500,000"
461,BrentBarry,SG,29,SEA,67,20,26.5,3.0,6.0,.494,1.6,3.4,.476,1.3,2.6,.517,.630,1.3,1.5,.816,0.5,2.7,3.1,3.4,1.2,0.2,1.3,1.9,8.8,"$4,320,000",2001,BrentBarry2001,"$35,500,000"
462,JonBarry,SG,31,SAC,62,2,16.3,1.7,4.1,.404,0.7,2.1,.348,0.9,2.0,.463,.494,1.0,1.2,.877,0.3,1.3,1.5,2.1,0.5,0.1,0.9,1.1,5.1,"$2,730,000",2001,JonBarry2001,"$35,500,000"
463,TonyBattie,C,24,BOS,40,25,21.1,2.7,5.0,.537,0.0,0.1,.000,2.7,5.0,.545,.537,1.1,1.7,.638,1.8,4.0,5.8,0.4,0.7,1.5,0.9,3.2,6.5,"$3,200,000",2001,TonyBattie2001,"$35,500,000"
464,RajaBell,SG,24,PHI,5,0,6.0,0.4,1.4,.286,0.2,0.6,.333,0.2,0.8,.250,.357,0.0,0.0,,0.0,0.2,0.2,0.0,0.2,0.0,0.4,0.2,1.0,,2001,RajaBell2001,"$35,500,000"
465,JonathanBender,SF,20,IND,59,7,9.7,1.1,3.2,.355,0.2,0.7,.268,0.9,2.5,.379,.384,0.8,1.2,.735,0.2,1.0,1.3,0.5,0.1,0.5,0.7,1.2,3.3,"$2,380,680",2001,JonathanBender2001,"$35,500,000"
466,CoreyBenjamin,PG,22,CHI,65,5,13.2,1.8,4.6,.381,0.3,1.2,.259,1.4,3.4,.425,.416,0.9,1.3,.675,0.6,1.0,1.5,1.1,0.4,0.2,1.0,2.0,4.7,"$749,160",2001,CoreyBenjamin2001,"$35,500,000"
467,DavidBenoit,SF,32,UTA,49,2,9.1,1.4,3.0,.483,0.1,0.3,.385,1.3,2.7,.493,.500,0.6,0.8,.795,0.4,1.2,1.7,0.4,0.1,0.1,0.6,1.5,3.6,"$736,000",2001,DavidBenoit2001,"$35,500,000"
468,TravisBest,PG,28,IND,77,21,31.9,4.5,10.2,.440,0.5,1.3,.381,4.0,9.0,.449,.464,2.4,2.9,.827,0.5,2.4,2.9,6.1,1.4,0.1,1.6,3.2,11.9,"$3,500,000",2001,TravisBest2001,"$35,500,000"
469,MikeBibby,PG,22,VAN,82,82,38.9,6.4,14.1,.454,1.3,3.5,.379,5.1,10.6,.478,.500,1.7,2.3,.761,0.6,3.1,3.7,8.4,1.3,0.1,3.0,1.8,15.9,"$3,308,160",2001,MikeBibby2001,"$35,500,000"
470,ChaunceyBillups,SG,24,MIN,77,33,23.2,3.2,7.6,.422,0.9,2.5,.376,2.3,5.1,.445,.485,1.9,2.2,.842,0.4,1.6,2.1,3.4,0.7,0.1,1.4,2.3,9.3,"$2,250,000",2001,ChaunceyBillups2001,"$35,500,000"
471,MookieBlaylock,PG,33,GSW,69,59,34.1,4.6,11.6,.396,1.1,3.3,.324,3.5,8.3,.424,.441,0.8,1.1,.697,1.0,2.9,3.9,6.7,2.4,0.3,1.9,1.9,11.0,"$4,800,000",2001,MookieBlaylock2001,"$35,500,000"
472,CorieBlount,PF,32,TOT,68,6,19.2,1.9,4.3,.442,0.0,0.1,.250,1.9,4.2,.448,.446,0.8,1.2,.614,2.7,3.2,5.9,0.9,0.6,0.3,1.1,2.4,4.6,"$1,320,000",2001,CorieBlount2001,"$35,500,000"
473,MarkBlount,C,25,BOS,64,50,17.2,1.6,3.1,.505,0.0,0.0,,1.6,3.1,.505,.505,0.7,1.0,.697,1.5,2.1,3.6,0.5,0.6,1.2,1.0,2.9,3.9,"$316,969",2001,MarkBlount2001,"$35,500,000"
474,MuggsyBogues,PG,36,TOR,3,0,11.3,0.0,0.7,.000,0.0,0.3,.000,0.0,0.3,.000,.000,0.0,0.0,,0.0,1.0,1.0,1.7,0.7,0.0,1.3,1.0,0.0,"$1,740,000",2001,MuggsyBogues2001,"$35,500,000"
475,EtdrickBohannon,PF,27,CLE,6,0,3.2,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.7,0.7,1.000,0.5,0.7,1.2,0.0,0.0,0.3,0.2,0.7,1.3,"$523,500",2001,EtdrickBohannon2001,"$35,500,000"
476,CalvinBooth,C,24,TOT,55,29,17.0,2.2,4.6,.476,0.0,0.0,,2.2,4.6,.476,.476,1.0,1.4,.679,1.4,3.1,4.5,0.8,0.5,2.0,1.0,2.7,5.3,"$423,500",2001,CalvinBooth2001,"$35,500,000"
477,CalBowdler,SF,23,ATL,44,0,8.5,1.2,2.6,.465,0.0,0.1,.200,1.2,2.5,.477,.469,0.8,0.9,.825,0.7,1.1,1.8,0.1,0.2,0.5,0.3,1.0,3.2,"$1,102,800",2001,CalBowdler2001,"$35,500,000"
478,BruceBowen,SF,29,MIA,82,72,32.7,2.6,7.1,.363,1.3,3.7,.336,1.3,3.3,.394,.452,1.2,2.0,.609,0.5,2.4,3.0,1.6,1.0,0.6,0.9,3.3,7.6,"$733,000",2001,BruceBowen2001,"$35,500,000"
479,RyanBowen,SF,25,DEN,57,0,12.2,1.4,2.5,.556,0.1,0.2,.364,1.3,2.3,.571,.569,0.5,0.8,.614,1.1,0.9,2.0,0.5,0.6,0.2,0.4,1.7,3.4,"$510,000",2001,RyanBowen2001,"$35,500,000"
480,IraBowman,PG,27,ATL,3,0,6.3,0.0,0.7,.000,0.0,0.0,,0.0,0.7,.000,.000,0.0,0.0,,0.3,0.3,0.7,2.3,0.0,0.0,0.3,0.0,0.0,,2001,IraBowman2001,"$35,500,000"
481,EarlBoykins,PG,24,LAC,10,0,14.9,2.5,6.3,.397,0.1,0.8,.125,2.4,5.5,.436,.405,1.4,1.7,.824,0.4,0.7,1.1,3.2,0.5,0.0,0.9,0.9,6.5,"$498,500",2001,EarlBoykins2001,"$35,500,000"
482,ShawnBradley,C,28,DAL,82,35,24.4,2.7,5.5,.490,0.0,0.1,.167,2.7,5.4,.494,.491,1.7,2.2,.787,2.0,5.5,7.4,0.5,0.4,2.8,1.1,3.1,7.1,"$8,370,000",2001,ShawnBradley2001,"$35,500,000"
483,EltonBrand,PF,21,CHI,74,74,39.3,7.8,16.4,.476,0.0,0.0,.000,7.8,16.4,.477,.476,4.5,6.4,.708,3.9,6.2,10.1,3.2,1.0,1.6,3.0,3.3,20.1,"$3,629,160",2001,EltonBrand2001,"$35,500,000"
484,TerrellBrandon,PG,30,MIN,78,78,36.2,6.6,14.5,.451,0.4,1.2,.363,6.1,13.4,.458,.465,2.5,2.9,.871,0.8,3.1,3.8,7.5,2.1,0.3,2.0,1.8,16.0,"$8,330,000",2001,TerrellBrandon2001,"$35,500,000"
485,ChuckyBrown,SF,32,TOT,26,2,13.0,1.5,3.7,.421,0.0,0.1,.000,1.5,3.5,.435,.421,0.8,1.3,.647,0.3,1.8,2.1,0.4,0.3,0.3,0.3,1.4,3.9,,2001,ChuckyBrown2001,"$35,500,000"
486,DeeBrown,PG,32,ORL,7,0,22.1,2.3,6.3,.364,1.7,4.6,.375,0.6,1.7,.333,.500,0.6,0.7,.800,0.0,1.6,1.6,1.7,0.6,0.0,1.0,1.4,6.9,"$1,000,000",2001,DeeBrown2001,"$35,500,000"
487,PJBrown,C,31,CHH,80,79,35.1,3.1,7.0,.444,0.0,0.1,.000,3.1,7.0,.447,.444,2.2,2.6,.852,3.2,6.1,9.3,1.6,1.0,1.2,1.4,3.3,8.5,"$5,740,000",2001,PJBrown2001,"$35,500,000"
488,RandyBrown,PG,32,BOS,54,35,22.9,1.9,4.4,.422,0.0,0.1,.000,1.9,4.3,.427,.422,0.4,0.7,.575,0.4,1.4,1.8,2.9,1.1,0.2,1.0,2.4,4.1,"$2,250,000",2001,RandyBrown2001,"$35,500,000"
489,RickBrunson,PG,28,TOT,22,0,9.5,0.8,2.5,.333,0.1,0.6,.143,0.7,1.8,.400,.352,0.4,0.7,.533,0.2,0.7,1.0,1.4,0.4,0.0,0.8,1.0,2.1,"$539,500",2001,RickBrunson2001,"$35,500,000"
490,KobeBryant,SG,22,LAL,68,68,40.9,10.3,22.2,.464,0.9,2.9,.305,9.4,19.3,.489,.484,7.0,8.2,.853,1.5,4.3,5.9,5.0,1.7,0.6,3.2,3.3,28.5,"$10,130,000",2001,KobeBryant2001,"$35,500,000"
491,MarkBryant,PF,35,DAL,18,1,5.6,0.4,1.1,.400,0.0,0.0,,0.4,1.1,.400,.400,0.2,0.3,.600,0.2,0.9,1.2,0.2,0.1,0.1,0.3,1.6,1.1,"$3,029,268",2001,MarkBryant2001,"$35,500,000"
492,GregBuckner,SG,24,DAL,37,9,22.2,2.3,5.2,.438,0.1,0.2,.286,2.2,5.0,.443,.443,1.6,2.2,.728,1.6,2.6,4.2,1.3,0.9,0.2,0.7,3.2,6.2,"$1,100,000",2001,GregBuckner2001,"$35,500,000"
493,JudBuechler,SF,32,DET,57,3,12.9,1.3,2.9,.463,0.6,1.4,.416,0.8,1.5,.506,.561,0.2,0.2,.750,0.4,1.3,1.6,0.7,0.4,0.2,0.4,1.5,3.4,"$3,260,000",2001,JudBuechler2001,"$35,500,000"
494,RodneyBuford,SF,23,PHI,47,0,12.2,2.2,5.1,.432,0.3,0.8,.421,1.9,4.3,.433,.465,0.5,0.6,.828,0.3,1.2,1.6,0.4,0.4,0.1,0.6,1.4,5.3,"$423,500",2001,RodneyBuford2001,"$35,500,000"
